Local Authority,Housing Category,Rental Object.,Acquisition Date,Postcode - 1st part,Postcode - 2nd part,Property Type,No. of Bedrooms,RE Contract,Contract Type,Contract Start Date,Prev Cont End Date,Previous Reason for Termination,Company (AO),Tenancy Allocation Source,Max Major Works Date,Max Remodelling Date,Max ReInvestment Date,Max HeldForDecant Date,Max NewProperty Date
DUDLEY,General Needs Residential,1010/101528/10000078,,DY3,2DN,House,3,1010/1100075151,Assured,08/02/2021,22/12/2020,Refused,Sanctuary Housing Assoc.,Local Authority Nomination,01/02/2021,,,,
MALVERN HILLS,General Needs Residential,1010/102732/10000024,,WR14,2UH,Flat,2,1010/1100075203,Assured,08/02/2021,05/01/2021,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,07/02/2021,,,,
WORCESTER,Housing for Older People,1010/102244/10000017,,WR1,2JJ,Flat,1,1010/1100075250,Assured,11/02/2021,18/01/2021,Refused,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
TELFORD AND WREKIN,Affordable General Needs,1010/102692/10000155,,TF1,5FN,House,4,1010/1100075322,Assured,25/02/2021,24/02/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
TELFORD AND WREKIN,General Needs Residential,1010/103451/10000017,,TF2,9HZ,House,3,1010/1100075347,Assured,18/02/2021,17/01/2021,Larger Prop,Sanctuary Housing Assoc.,Local Authority Nomination,15/02/2021,,,,
TELFORD AND WREKIN,Aged Defined General Needs,1010/104462/10000021,,TF2,7AF,Bungalow,1,1010/1100075141,Assured,04/02/2021,19/11/2020,Tenant Died,Sanctuary Housing Assoc.,Rightmove,,,,,
TELFORD AND WREKIN,Aged Defined General Needs,1010/104462/10000023,,TF2,7AF,Bungalow,1,1010/1100075237,Assured,16/02/2021,03/12/2020,Tenant Died,Sanctuary Housing Assoc.,Rightmove,03/02/2021,,,,
CANNOCK CHASE,Affordable General Needs,1010/102538/10000002,,WS15,1LL,House,2,1010/1100075402,Assured,23/02/2021,31/01/2021,Refused,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
WOLVERHAMPTON,General Needs Residential,1010/101794/10000048,,WV10,0PF,Flat,2,1010/1100075385,Assured,25/02/2021,27/09/2020,Closer Family,Sanctuary Housing Assoc.,Direct Application,04/11/2020,,,,
WOLVERHAMPTON,General Needs Residential,1010/101794/10000067,,WV10,0PF,Flat,1,1010/1100075310,Assured,16/02/2021,02/12/2020,Surr. by Op Law,Sanctuary Housing Assoc.,Direct Application,15/02/2021,,,,
WOLVERHAMPTON,General Needs Residential,1010/101794/10000086,,WV10,0PF,Flat,2,1010/1100075450,Assured,25/02/2021,16/11/2020,Employ,Sanctuary Housing Assoc.,Direct Application,21/02/2021,,,,
LEICESTER,General Needs Residential,1010/105351/10000008,,LE5,1AX,Flat,2,1010/1100075401,Assured,22/02/2021,13/12/2020,Refused,Sanctuary Housing Assoc.,Rightmove,21/02/2021,,,,
CHERWELL,General Needs Residential,1010/101041/10000473,,OX26,2JP,House,2,1010/1100075170,Assured,08/02/2021,03/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHERWELL,Affordable General Needs,1020/102092/10000011,,OX25,1QU,House,2,1020/1100003294,Assured,19/02/2021,03/01/2021,Larger Prop,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
CHERWELL,General Needs Residential,1010/101041/10000585,,OX26,2JW,Bungalow,1,1010/1100074733,Assured,01/02/2021,31/01/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
CHERWELL,General Needs Residential,1010/103745/10000020,,OX26,5DR,Bungalow,2,1010/1100075084,Assured,01/02/2021,22/11/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Choice Based Letting,18/01/2021,,,,
CHERWELL,General Needs Residential,1010/104663/10000087,,OX25,1PJ,House,3,1010/1100075272,Assured,12/02/2021,17/01/2021,Smaller Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHERWELL,Housing for Older People,1010/103752/10000013,,OX16,3LW,Bungalow,1,1010/1100075248,Assured,11/02/2021,17/01/2021,Med/Supp Need,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SHROPSHIRE,General Needs Residential,1010/105791/10000007,,SY11,2GA,House,2,1010/1100075321,Assured,16/02/2021,18/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
SHROPSHIRE,General Needs Residential,1010/105791/10000031,,SY11,2GA,House,2,1010/1100075335,Assured,17/02/2021,03/02/2021,Move Fam/Friend,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
HACKNEY,General Needs Residential,1010/102110/10000924,,E9,5QP,Flat,3,1010/1100075341,Assured,18/02/2021,08/11/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
FOLKESTONE & HYTHE,General Needs Residential,1010/102040/10000001,,CT19,5QP,Flat,1,1010/1100075460,Assured,26/02/2021,10/05/2020,Tenant Died,Sanctuary Housing Assoc.,Nomination (Non LA),17/02/2021,,,,
MEDWAY,Housing for Older People,1010/104963/10000024,,ME8,7QY,Bungalow,1,1010/1100075276,Assured,12/02/2021,23/08/2020,Tenant Died,Sanctuary Housing Assoc.,Internal Transfer,01/02/2021,,,11/02/2021,
THANET,General Needs Residential,1010/104428/10000010,,CT9,3PS,Bungalow,1,1010/1100075459,Assured,26/02/2021,17/01/2021,Nrsng/Res. Care,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
LAMBETH,Housing for Older People,1010/101021/10000007,,SW16,1LW,Studio apartment,#,1010/1100075133,Assured,03/02/2021,19/07/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,21/01/2021,,,,
MERTON,Housing for Older People,1010/102620/10000007,,SW20,9DL,Flat,1,1010/1100075269,Assured,12/02/2021,04/10/2020,Move Fam/Friend,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
MERTON,Housing for Older People,1010/102620/10000021,,SW20,9DL,Flat,1,1010/1100075290,Assured,12/02/2021,29/11/2020,Tenant Died,Sanctuary Housing Assoc.,Internal Transfer,11/02/2021,,,,
EALING,Housing for Older People,1010/102387/10000036,,W5,5UA,Flat,1,1010/1100075113,Assured,03/02/2021,20/09/2020,Tenant Died,Sanctuary Housing Assoc.,Direct Application,,,,,
MAIDSTONE,General Needs Residential,1010/104956/10000011,,ME17,1DF,House,3,1010/1100075157,Assured,05/02/2021,07/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,01/02/2021,,,,
HACKNEY,General Needs Residential,1010/102953/10000328,,E9,6SQ,Flat,2,1010/1100075079,Assured,01/02/2021,23/08/2020,Tenant Died,Sanctuary Housing Assoc.,Internal Transfer,26/01/2021,,,31/01/2021,
BROMLEY,General Needs Residential,1010/104972/10000009,01/04/2009,SE23,2SG,House,5,1010/1100075325,Assured,16/02/2021,,#,Sanctuary Housing Assoc.,Internal Transfer,,,,15/02/2021,
WESTMINSTER,General Needs Residential,1010/104546/10000300,,SW1V,4BZ,Flat,1,1010/1100075293,Assured,18/02/2021,23/10/2019,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,24/11/2020,,,17/02/2021,
HACKNEY,General Needs Residential,1010/101209/10000150,,E9,7HD,Flat,2,1010/1100075165,Assured,05/02/2021,04/12/2016,Tenant Died,Sanctuary Housing Assoc.,Internal Transfer,13/09/2018,16/09/2020,,,
BRIGHTON AND HOVE,Housing for Older People,1010/104351/10000037,,BN1,6DQ,Flat,1,1010/1100075142,Assured,03/02/2021,21/12/2020,Tenant Died,Sanctuary Housing Assoc.,Internal Transfer,,,,02/02/2021,
BRIGHTON AND HOVE,Housing for Older People,1010/105495/10000035,,BN2,0YT,Flat,1,1010/1100075159,Assured,04/02/2021,11/10/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Internal Transfer,13/12/2020,,,,
BRIGHTON AND HOVE,General Needs Residential,1010/104341/10000025,,BN3,1SJ,Flat,2,1010/1100075342,Assured,17/02/2021,22/11/2020,Employ,Sanctuary Housing Assoc.,Internal Transfer,03/02/2021,,,16/02/2021,
HARROW,Housing for Older People,1010/102392/10000013,,HA2,8JX,Flat,1,1010/1100075323,Assured,16/02/2021,15/02/2020,Tenant Died,Sanctuary Housing Assoc.,Other,,,,,
HILLINGDON,General Needs Residential,1010/103985/10000068,,HA6,2PN,Flat,1,1010/1100075184,Assured,05/02/2021,27/01/2020,Nrsng/Res. Care,Sanctuary Housing Assoc.,Nomination (Non LA),20/12/2020,,,04/02/2021,
HARINGEY,General Needs Residential,1010/102396/10000000,,N22,8EL,Flat,2,1010/1100075218,Assured,09/02/2021,19/07/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Internal Transfer,21/01/2021,,,08/02/2021,
ISLINGTON,Housing for Older People,1010/103977/10000040,,N1,0LJ,Flat,1,1010/1100075353,Assured,17/02/2021,24/05/2020,Tenant Died,Sanctuary Housing Assoc.,Nomination (Non LA),21/10/2020,,,16/02/2021,
ARUN,General Needs Residential,1010/103466/10000000,,BN16,1AD,House,3,1010/1100075107,Assured,02/02/2021,20/09/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,01/02/2021,,,,
HORSHAM,Affordable General Needs,1010/105000/10000000,,RH13,5LZ,Flat,1,1010/1100075173,Assured,05/02/2021,13/12/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
WEALDEN,General Needs Residential,1010/100475/10000011,,BN24,5DW,House,3,1010/1100075194,Assured,15/02/2021,14/02/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
WORTHING,General Needs Residential,1010/101325/10000053,,BN13,3RZ,Flat,1,1010/1100075285,Assured,19/02/2021,18/02/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
WELWYN HATFIELD,General Needs Residential,1010/105890/10000065,,AL7,3HR,Bungalow,3,1010/1100075455,Assured,25/02/2021,13/09/2020,U&O end,Sanctuary Housing Assoc.,Choice Based Letting,23/02/2021,,,26/11/2020,
CHELMSFORD,Housing for Older People,1010/103656/10000005,,CM4,9NF,Flat,1,1010/1100075405,Assured,23/02/2021,27/12/2020,Tenant Died,Sanctuary Housing Assoc.,Rightmove,12/01/2021,,,,
CHELMSFORD,General Needs Residential,1010/103992/10000008,,CM2,9GY,Flat,2,1010/1100075373,Assured,19/02/2021,24/01/2021,Man. Trans  Grp,Sanctuary Housing Assoc.,Local Authority Nomination,08/02/2021,,,,
CHELMSFORD,General Needs Residential,1010/104741/10000011,,CM2,7JU,Studio apartment,#,1010/1100075469,Assured,26/02/2021,02/06/2020,Tenant Died,Sanctuary Housing Assoc.,Local Authority Nomination,22/02/2021,,,,
ROCHFORD,Housing for Older People,1010/102217/10000003,,SS5,6NB,Flat,1,1010/1100075403,Assured,22/02/2021,29/11/2020,Refused,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
ROCHFORD,General Needs Residential,1010/104987/10000012,,SS6,8LT,House,3,1010/1100075306,Assured,15/02/2021,27/12/2020,Move Fam/Friend,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
THURROCK,Affordable General Needs,1010/105861/10000024,,RM18,8DW,House,2,1010/1100075136,Assured,05/02/2021,21/06/2020,Refused,Sanctuary Housing Assoc.,Local Authority Nomination,01/02/2021,,,,
WEST SUFFOLK,General Needs Residential,1010/101811/10000011,,IP33,1XX,Flat,1,1010/1100075199,Assured,08/02/2021,15/11/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
BABERGH,General Needs Residential,1010/104418/10000032,,CO10,2WT,Flat,1,1010/1100075420,Assured,23/02/2021,09/08/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,01/02/2021,,,,
BRAINTREE,General Needs Residential,1010/103746/10000070,,CM7,9LW,Flat,1,1010/1100075384,Assured,22/02/2021,27/12/2020,Med/Supp Need,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
BRAINTREE,General Needs Residential,1020/106447/10000037,30/03/2020,CM7,3AL,Flat,1,1020/1100003287,Assured,17/02/2021,,#,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
BRAINTREE,General Needs Residential,1020/106447/10000038,30/03/2020,CM7,3AL,Flat,2,1020/1100003289,Assured,17/02/2021,,#,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
BRAINTREE,General Needs Residential,1020/106447/10000039,30/03/2020,CM7,3AL,Flat,1,1020/1100003293,Assured,17/02/2021,,#,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
BRAINTREE,General Needs Residential,1020/106447/10000040,30/03/2020,CM7,3AL,Flat,2,1020/1100003295,Assured,19/02/2021,,#,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
BRAINTREE,General Needs Residential,1020/106447/10000041,30/03/2020,CM7,3AL,Flat,1,1020/1100003300,Assured,24/02/2021,,#,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
BRAINTREE,General Needs Residential,1020/106447/10000042,30/03/2020,CM7,3AL,Flat,1,1020/1100003311,Assured,25/02/2021,,#,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
COLCHESTER,Affordable General Needs,1010/101039/10000009,,CO2,9PJ,Flat,2,1010/1100075295,Assured,12/02/2021,03/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
COLCHESTER,Affordable General Needs,1010/101039/10000011,,CO2,9PJ,Flat,2,1010/1100075148,Assured,04/02/2021,03/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
COLCHESTER,Affordable General Needs,1010/103893/10000023,,CO4,9FA,House,2,1010/1100075108,Assured,02/02/2021,15/11/2020,Smaller Prop,Sanctuary Housing Assoc.,Internal Transfer,31/01/2021,,,,
TENDRING,Affordable General Needs,1020/106294/10000041,25/01/2021,CO7,7FR,Flat,2,1020/1100003271,Assured,03/02/2021,,#,Sanc. Afford. Housing Ltd,Local Authority Nomination,,,,,24/01/2021
IPSWICH,General Needs Residential,1010/105405/10000136,,IP2,9YP,Flat,2,1010/1100075294,Assured,16/02/2021,03/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/102116/10000095,,CB7,5SY,House,3,1010/1100075161,Assured,04/02/2021,25/10/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,02/02/2021,,,,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/104681/10000237,,CB7,5AU,Bungalow,2,1010/1100075327,Assured,17/02/2021,03/01/2021,Nrsng/Res. Care,Sanctuary Housing Assoc.,Choice Based Letting,07/02/2021,,,,
EAST HERTFORDSHIRE,Housing for Older People,1010/101463/10000018,,SG14,3UD,Flat,1,1010/1100075132,Assured,03/02/2021,05/07/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,18/01/2021,,,,
NORTH HERTFORDSHIRE,General Needs Residential,1010/101688/10000068,,SG6,4YN,House,3,1010/1100075182,Assured,05/02/2021,26/07/2020,Purch-Open Mkt,Sanctuary Housing Assoc.,Choice Based Letting,03/02/2021,,,,
FENLAND,General Needs Residential,1010/102766/10000005,,PE13,5PW,Flat,2,1010/1100075221,Assured,10/02/2021,17/06/2020,Keys ret,Sanctuary Housing Assoc.,Choice Based Letting,07/02/2021,,,,
FENLAND,General Needs Residential,1010/102766/10000017,,PE13,5PW,Flat,1,1010/1100075176,Assured,05/02/2021,01/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
KING'S LYNN AND WEST,General Needs Residential,1010/104242/10000031,,PE38,9EX,Flat,2,1010/1100075315,Assured,16/02/2021,06/12/2020,Refused,Sanctuary Housing Assoc.,Rightmove,27/01/2021,,,,
KING'S LYNN AND WEST,General Needs Residential,1010/104242/10000033,,PE38,9EX,Flat,1,1010/1100075208,Assured,09/02/2021,06/12/2020,Surr. by Op Law,Sanctuary Housing Assoc.,Local Authority Nomination,07/02/2021,,,,
EAST CAMBRIDGESHIRE,Housing for Older People,1010/104432/10000032,,CB6,3LY,Bungalow,1,1010/1100075349,Assured,19/02/2021,10/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,07/02/2021,,,,
SOUTH CAMBRIDGESHIRE,General Needs Residential,1010/105755/10000001,,CB22,6SR,House,2,1010/1100075378,Assured,19/02/2021,10/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,17/02/2021,,,,
EAST CAMBRIDGESHIRE,Affordable General Needs,1010/102753/10000007,,CB6,1LJ,Flat,2,1010/1100075288,Assured,22/02/2021,21/02/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
EAST CAMBRIDGESHIRE,Affordable General Needs,1010/102753/10000251,,CB6,1JJ,Flat,1,1010/1100075150,Assured,05/02/2021,20/12/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,02/02/2021,,,,
EAST CAMBRIDGESHIRE,Affordable General Needs,1010/102753/10000331,,CB6,1JY,Bungalow,2,1010/1100075281,Assured,23/02/2021,22/02/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
EAST CAMBRIDGESHIRE,Affordable General Needs,1010/102753/10000370,,CB6,1LA,House,2,1010/1100075289,Assured,22/02/2021,21/02/2021,End Fixed Ten,Sanctuary Housing Assoc.,Other,,,,,
EAST CAMBRIDGESHIRE,Housing for Older People,1010/102753/10000149,,CB6,1NL,Bungalow,1,1010/1100075091,Assured,04/02/2021,06/12/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
EAST CAMBRIDGESHIRE,Housing for Older People,1010/104782/10000026,,CB6,2TP,Bungalow,1,1010/1100075320,Assured,17/02/2021,29/11/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/102265/10000004,,CB6,3AJ,Flat,1,1010/1100075156,Assured,08/02/2021,28/10/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/102753/10000039,,CB6,1LF,House,2,1010/1100075389,Assured,24/02/2021,22/12/2020,Surr. by Op Law,Sanctuary Housing Assoc.,Choice Based Letting,17/02/2021,,,,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/102753/10000389,,CB6,1LB,Bungalow,2,1010/1100075191,Assured,05/02/2021,30/12/2020,Closer Family,Sanctuary Housing Assoc.,Internal Transfer,,,,04/02/2021,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/101364/10000030,,CB25,9DD,Bungalow,2,1010/1100075423,Assured,23/02/2021,29/11/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,17/02/2021,,,,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/102260/10000202,,CB25,0DJ,House,2,1010/1100075183,Assured,05/02/2021,27/12/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,04/02/2021,,,,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/103520/10000018,,CB8,9EN,House,2,1010/1100075319,Assured,15/02/2021,10/01/2021,Refused,Sanctuary Housing Assoc.,Internal Transfer,20/01/2021,,,14/02/2021,
BROXBOURNE,General Needs Residential,1010/103731/10000009,,EN8,0DL,Flat,1,1010/1100075468,Assured,26/02/2021,08/11/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,16/02/2021,,,,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/101783/10000027,,CB7,4RE,House,3,1010/1100075284,Assured,12/02/2021,10/01/2021,Refused,Sanctuary Housing Assoc.,Internal Transfer,,,,,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/102265/10000282,,CB6,3BS,House,3,1010/1100075367,Assured,18/02/2021,17/01/2021,Tenant Died,Sanctuary Housing Assoc.,Internal Transfer,16/02/2021,,,,
EAST CAMBRIDGESHIRE,General Needs Residential,1010/102508/10000022,,CB7,4RW,Bungalow,4,1010/1100075304,Assured,12/02/2021,31/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,11/02/2021,,,,
EAST CAMBRIDGESHIRE,Aged Defined General Needs,1010/104232/10000049,,CB7,4QY,Flat,1,1010/1100075280,Assured,12/02/2021,10/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,10/02/2021,,,,
LIVERPOOL,Affordable General Needs,1020/106304/10000011,,L8,0WN,Flat,2,1020/1100003272,Assured,08/02/2021,16/11/2020,Refused,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,
LIVERPOOL,Affordable General Needs,1020/106489/10000007,25/01/2021,L7,0AE,Flat,2,1020/1100003274,Assured,09/02/2021,,#,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,08/02/2021
LIVERPOOL,Affordable General Needs,1020/106489/10000008,18/02/2021,L7,0AE,House,2,1020/1100003299,Assured,26/02/2021,,#,Sanc. Afford. Housing Ltd,Choice Based Letting,,,,,25/02/2021
LIVERPOOL,General Needs Residential,1010/106655/10000006,,L9,8EW,Flat,1,1010/1100075361,Assured,22/02/2021,08/11/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,16/12/2020,,,,
LIVERPOOL,General Needs Residential,1010/106655/10000017,,L9,8BZ,Flat,1,1010/1100075195,Assured,09/02/2021,17/01/2021,Refused,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
LIVERPOOL,General Needs Residential,1010/106726/10000003,,L8,4TD,Bungalow,2,1010/1100075243,Assured,11/02/2021,17/01/2021,Refused,Sanctuary Housing Assoc.,Other,,,,,
LIVERPOOL,General Needs Residential,1010/106802/10000022,,L6,2AT,Flat,2,1010/1100075144,Assured,05/02/2021,29/09/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable General Needs,1010/106403/10000432,,CH2,2FJ,Flat,2,1010/1100075051,Assured,02/02/2021,07/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106533/10000026,,SY14,8QY,Flat,1,1010/1100075095,Assured,02/02/2021,11/11/2020,Refused,Sanctuary Housing Assoc.,Rightmove,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106403/10000006,,CH2,2NA,Maisonette,2,1010/1100075254,Assured,11/02/2021,17/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106403/10000427,,CH2,2LZ,Flat,2,1010/1100075131,Assured,04/02/2021,31/01/2021,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable General Needs,1010/106411/10000090,,CH1,5PD,Flat,2,1010/1100075230,Assured,12/02/2021,08/01/2021,Prop Condition,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable General Needs,1010/106411/10000205,,CH1,5NZ,House,3,1010/1100075448,Assured,26/02/2021,20/12/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,25/02/2021,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106411/10000029,,CH1,5NX,House,3,1010/1100075305,Assured,16/02/2021,27/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106411/10000374,,CH1,5PD,Flat,2,1010/1100075346,Assured,18/02/2021,03/01/2021,ASB,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable General Needs,1010/106414/10000322,,CH1,5QF,Flat,2,1010/1100075395,Assured,24/02/2021,19/11/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106414/10000196,,CH1,5RY,Flat,1,1010/1100075270,Assured,15/02/2021,13/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106414/10000279,,CH1,5RZ,Flat,2,1010/1100075110,Assured,03/02/2021,27/12/2020,Move Fam/Friend,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106414/10000426,,CH1,5RY,Flat,1,1010/1100075298,Assured,16/02/2021,28/12/2020,Rel Breakdown,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable Housing for Older People,1010/106408/10000193,,CH1,5FB,Flat,1,1010/1100075146,Assured,08/02/2021,14/12/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
KNOWSLEY,General Needs Residential,1010/106744/10000001,,L32,0TS,Bungalow,2,1010/1100075229,Assured,11/02/2021,09/08/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
LIVERPOOL,General Needs Residential,1010/106643/10000088,,L15,8GJ,Flat,2,1010/1100075368,Assured,25/02/2021,21/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
LIVERPOOL,General Needs Residential,1010/106745/10000050,,L24,9LJ,Flat,2,1010/1100075098,Assured,02/02/2021,08/11/2020,Closer Family,Sanctuary Housing Assoc.,Local Authority Nomination,,,,,
ST. HELENS,General Needs Residential,1010/106685/10000014,,WA9,4YL,Flat,2,1010/1100075398,Assured,23/02/2021,23/11/2020,Man. Trans  Grp,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable General Needs,1010/106409/10000027,,CH1,5DS,Flat,2,1010/1100075180,Assured,05/02/2021,22/11/2020,Med/Supp Need,Sanctuary Housing Assoc.,Choice Based Letting,20/01/2021,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106409/10000476,,CH1,5DG,Flat,2,1010/1100075212,Assured,11/02/2021,13/12/2020,Prop Condition,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106471/10000041,,CH3,7NA,Flat,1,1010/1100075158,Assured,05/02/2021,29/11/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106492/10000001,,CH4,7NB,Bungalow,2,1010/1100075251,Assured,11/02/2021,20/12/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,08/02/2021,,,,
CHESHIRE WEST AND CH,Housing for Older People,1010/106493/10000404,,CH4,8EU,Flat,1,1010/1100075249,Assured,10/02/2021,20/12/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106493/10000172,,CH4,8EA,Flat,1,1010/1100075447,Assured,25/02/2021,29/11/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,22/02/2021,,,,
WIRRAL,General Needs Residential,1010/106693/10000053,,CH41,2SJ,Flat,1,1010/1100075166,Assured,08/02/2021,03/09/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
WIRRAL,General Needs Residential,1010/106728/10000001,,CH62,1AY,House,3,1010/1100075065,Assured,01/02/2021,08/12/2020,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,Affordable General Needs,1010/106494/10000264,,CH4,8NQ,House,2,1010/1100075083,Assured,02/02/2021,03/01/2021,Refused,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106494/10000045,,CH4,8EZ,Flat,2,1010/1100075175,Assured,05/02/2021,18/12/2020,Larger Prop,Sanctuary Housing Assoc.,Choice Based Letting,,,,,
CHESHIRE WEST AND CH,General Needs Residential,1010/106494/10000128,,CH4,8EW,Flat,1,1010/1100075314,Assured,15/02/2021,25/10/2020,Tenant Died,Sanctuary Housing Assoc.,Choice Based Letting,08/02/2021,,,,
