2) Rental Object Reference:,3) Rental Object Postcode:,4) Contract Number (Tenancy Reference):,5) Contract Start Date:,6) In the tenant’s view what was the main reason the household left their last settled home?:,"7) If you responded 'Other' to Q6, please state the main reason:",8) Was the reason for leaving a direct result of the removal of the spare room subsidy or benefit cap introduced from 2013?:,9) What was the housing situation for this household immediately before this letting?:,10) Enter Local Authority in which household lived immediately before this letting:,11) Postcode of the previous accommodation (leave blank if previous postcode is unknown or previous accommodation was temporary):,12) How long has the household continuously lived in the local authority area where the new letting is located?:,13) How long has the household been on the waiting list of the local authority district where the new letting is located?:,"14) Immediately prior to this letting, was this household…?:",15) Was the household given reasonable Preference for housing by the Local Authority?:,"16) Which of following reasonable preferences apply (tick any which are applicable, leave un-ticked if Q15 answered ""No"" or ""Don't Know"")?:","17) Was the letting made under any of the following allocations systems? (tick any which are applicable, leave un-ticked if none apply):","20) How many times has the unit been previously offered since becoming available for relet since the last tenancy ended or as a first let? 
For an Affordable Rent or Rent to Buy Letting, only include number of offers as that type. (For a property let at t",21) Reason for vacancy:
1010/103573/10000002,DN7 6QB,1010/1200008739,2/15/21,Other,Unhappy with staff at previous supported accommodation,No,Supported housing,Doncaster,DN12 3LR,3 years but under 4 years,Don't know,Not homeless,Don't Know,,,1,Relet - previous tenant died (no succession)
1010/104242/10000031,PE38 9EX,1010/1100075315,2/16/21,To move to independent accommodation,,Don't Know,Living with friends or family,King's Lynn and West Norfolk,PE30 3EP,5 years or more,Don't know,Not homeless,No,,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/104293/10002317,S5 0HH,1010/1100075291,2/12/21,Asked to leave by family or friends,,No,Living with friends or family,Sheffield,S20 6SQ,5 years or more,1 year but under 2 years,Assessed as homeless by a local authority and owed a relief duty,Yes,A need to move to avoid hardship to themselves or others,Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1010/104293/10000410,S5 0BF,1010/1100075122,2/3/21,Property unsuitable because of ill health/ disability,,No,Lifetime Local Authority General Needs tenancy,Sheffield,S2 1DL,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),3,Relet - previous tenant died (no succession)
1010/100313/10000008,GL7 1AB,1010/1100075301,2/16/21,Property unsuitable because of poor condition,,No,Private sector tenancy,Cotswold,GL7 1LB,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1020/106415/10000010,IP24 1DS,1020/1600000922,2/9/21,Asked to leave by family or friends,,No,Rough sleeping,Breckland,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Common housing register (CHR),0,Relet - tenant evicted due to ASB or other reason
1010/105702/10000004,BS23 3XX,1010/1500001778,2/9/21,Asked to leave by family or friends,,No,Other,North Somerset,BS23 3DS,5 years or more,5 years or more,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - previous tenant moved to private sector or other accommodation
1020/102338/10000007,TQ3 2UE,1020/1100003281,2/17/21,Domestic abuse,,No,Any other temporary accommodation,Torbay,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/101990/10000002,HU3 6QP,1010/1100075214,2/12/21,Property unsuitable because of overcrowding,,No,Living with friends or family,"Kingston upon Hull, City of",HU7 4HH,5 years or more,Less than 1 year,Not homeless,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/101318/10000032,HU3 2EG,1010/1100075232,2/12/21,To move to independent accommodation,,No,Living with friends or family,"Kingston upon Hull, City of",HU13 0QL,5 years or more,Less than 1 year,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/102402/10000042,HU3 2PW,1010/1100075205,2/11/21,To move to independent accommodation,,No,Living with friends or family,"Kingston upon Hull, City of",HU3 2LN,5 years or more,Less than 1 year,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/104293/10001182,S5 0BF,1010/1100075207,2/9/21,Property unsuitable because of ill health/ disability,,No,Lifetime Local Authority General Needs tenancy,Sheffield,S5 0TL,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),2,Relet - previous tenant died (no succession)
1010/105791/10000007,SY11 2GA,1010/1100075321,2/16/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,Camden,NW3 6EF,Just moved to the local authority area,1 year but under 2 years,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/106494/10000128,CH4 8EW,1010/1100075314,2/15/21,To move to independent accommodation,,No,Any other temporary accommodation,Cheshire West and Chester,CH1 4LH,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Common allocation policy (CAP),0,Relet - previous tenant died (no succession)
1010/106414/10000426,CH1 5RY,1010/1100075298,2/16/21,To move to independent accommodation,,No,Any other temporary accommodation,Cheshire West and Chester,CH1 4JR,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1010/106414/10000196,CH1 5RY,1010/1100075270,2/15/21,To move to independent accommodation,,No,Any other temporary accommodation,Cheshire West and Chester,CH1 4JR,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1010/102463/10000100,S64 9NS,1010/1100075247,2/11/21,Asked to leave by family or friends,,No,Living with friends or family,Doncaster,DN8 5PR,5 years or more,1 year but under 2 years,Not homeless,No,,Choice-based lettings (CBL),2,Relet - tenant abandoned property
1010/105328/10000028,NG17 1EH,1010/1100075020,2/1/21,Property unsuitable because of ill health/ disability,,No,Lifetime Local Authority General Needs tenancy,Sutton,NG17 1EH,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),2,Relet - previous tenant moved to private sector or other accommodation
1010/103101/10000043,S63 6JD,1010/1100075267,2/11/21,Domestic abuse,,No,Living with friends or family,Rotherham,S62 5HQ,5 years or more,1 year but under 2 years,Not homeless,Yes,A need to move to avoid hardship to themselves or others,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/105748/10000010,IP11 2NB,1010/1600005820,2/15/21,Asked to leave by family or friends,,No,Living with friends or family,Ipswich,IP2 0NU,Less than 1 year,Less than 1 year,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/103752/10000013,OX16 3LW,1010/1100075248,2/11/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Cherwell,OX26 6SQ,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/103886/10000472,OX16 0PX,1010/1100075287,2/12/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,Cherwell,OX16 5LR,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/103886/10000898,OX16 0DZ,1010/1100075228,2/15/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,Cherwell,OX5 2HA,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),6,Relet - previous tenant died (no succession)
1010/102037/10000022,GU14 6UT,1010/1100075307,2/17/21,Property unsuitable because of ill health/ disability,,No,Lifetime Local Authority General Needs tenancy,Rushmoor,,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1010/102731/10000001,IP1 3LN,1010/1200008749,2/17/21,Don’t Know,,No,Bed and breakfast,Ipswich,,5 years or more,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/106062/10000044,TQ5 9ET,1010/1100075271,2/17/21,Property unsuitable because of ill health/ disability,,No,Fixed-term Local Authority General Needs tenancy,Torbay,,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/104987/10000012,SS6 8LT,1010/1100075306,2/15/21,Property unsuitable because of overcrowding,,Don't Know,Lifetime Private Registered Provider General Needs tenancy,Rochford,SS6 8JL,5 years or more,Don't know,Not homeless,Don't Know,,Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1010/106835/10000041,SS4 1DH,1010/1100075350,2/17/21,To move to accommodation with support,,Don't Know,Living with friends or family,Waltham Forest,E4 9NG,Just moved to the local authority area,Don't know,Not homeless,Don't Know,,,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/103593/10000008,PL4 9NX,1010/1100075339,2/17/21,Asked to leave by family or friends,,No,Bed and breakfast,Plymouth,,1 year but under 2 years,1 year but under 2 years,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,,Choice-based lettings (CBL),3,Relet - previous tenant moved to private sector or other accommodation
1010/105108/10000000,TA2 7UF,1010/1100075275,2/15/21,Domestic abuse,,No,Lifetime Local Authority General Needs tenancy,Somerset West and Taunton,,5 years or more,5 years or more,Not homeless,Don't Know,,Choice-based lettings (CBL),2,Relet - previous tenant moved to private sector or other accommodation
1010/102418/10000008,EX32 7AS,1010/1600005827,2/17/21,To move to accommodation with support,,No,Supported housing,North Devon,EX39 2A,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),,0,Relet - tenant evicted due to ASB or other reason
1020/106464/10000013,NR31 0DX,1020/1600000928,2/15/21,Other,Relationship bereavement,No,Bed and breakfast,Great Yarmouth,,Less than 1 year,Just moved to the local authority area,Assessed as homeless by a local authority and owed a relief duty,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104763/10000008,HR4 9HP,1010/1200008745,2/15/21,To move to independent accommodation,,No,Supported housing,"Herefordshire, County of",HR1 1RF,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),,1,Relet - previous tenant died (no succession)
1020/106447/10000039,CM7 3AL,1020/1100003293,2/17/21,Asked to leave by family or friends,,No,Living with friends or family,Braintree,,Less than 1 year,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Don't Know,,Choice-based lettings (CBL),0,"First let of a conversion, rehabilitation or acquired property"
1010/106579/10000002,SP1 1DX,1010/1600005811,2/11/21,Don’t Know,,Don't Know,Rough sleeping,Wiltshire,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL),0,Relet - tenant evicted due to ASB or other reason
1010/106930/10000005,RM17 6QA,1010/1600005812,2/11/21,Asked to leave by family or friends,,No,Living with friends or family,Thurrock,,Don't know,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/106576/10000003,SN1 2EG,1010/1600005818,2/12/21,End of Assured Shorthold Tenancy - 'eviction/tenant at fault',,No,Prison / Approved Probation Hostel,"Bristol, City of",,5 years or more,1 year but under 2 years,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1020/106396/10000010,CB9 8HB,1020/1600000931,2/16/21,End of Assured Shorthold Tenancy - 'eviction/tenant at fault',,No,Rough sleeping,West Suffolk,,5 years or more,1 year but under 2 years,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - previous tenant moved to private sector or other accommodation
1020/106447/10000038,CM7 3AL,1020/1100003289,2/17/21,To move to independent accommodation,,No,Living with friends or family,Braintree,CM3 2JA,5 years or more,5 years or more,Not homeless,Don't Know,,Choice-based lettings (CBL),0,"First let of a conversion, rehabilitation or acquired property"
1010/103597/10000028,DE22 4BH,1010/1100075299,2/12/21,To move to accommodation with support,,No,Fixed-term Private Registered Provider General Needs tenancy,Derby,,Don't know,Don't know,Not homeless,Don't Know,,,1,Relet - previous tenant died (no succession)
1010/103597/10000012,DE22 4BH,1010/1100075303,2/15/21,To move to accommodation with support,,No,Fixed-term Local Authority General Needs tenancy,Derby,,Don't know,Don't know,Not homeless,Don't Know,,,1,Relet - previous tenant died (no succession)
1020/106265/10000100,ST6 3PR,1020/1100003283,2/15/21,To move to accommodation with support,,No,Other,Cheshire East,ST7 2PQ,Don't know,Don't know,Not homeless,Don't Know,,,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/103598/10000006,ST4 3DD,1010/1100075328,2/17/21,Other,To enable family to live together,No,Lifetime Local Authority General Needs tenancy,Stoke-on-Trent,ST3 3NX,5 years or more,3 years but under 4 years,Not homeless,No,,,0,Relet - tenant moved to other social housing provider
1010/105791/10000031,SY11 2GA,1010/1100075335,2/17/21,Property unsuitable because of poor condition,,No,Fixed-term Private Registered Provider General Needs tenancy,Shropshire,SY11 2PZ,5 years or more,2 years but under 3 years,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/101798/10000023,PO3 6HT,1010/1100075332,2/18/21,Asked to leave by family or friends,,No,Living with friends or family,Portsmouth,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/103451/10000017,TF2 9HZ,1010/1100075347,2/18/21,Asked to leave by family or friends,,No,Any other temporary accommodation,Telford and Wrekin,,Less than 1 year,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/102879/10000011,TR11 4ES,1010/1100075326,2/18/21,Loss of tied accommodation,,No,Tied housing or rented with job,Cornwall,,5 years or more,Don't know,Not homeless,No,,,6,Relet - tenant moved to other social housing provider
1010/103418/10000002,CB22 3BN,1010/1600005813,2/11/21,Don’t Know,,Don't Know,Any other temporary accommodation,Bedford,MK42 9SD,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant moved to other social housing provider
1020/106248/10000043,CB25 9GF,1020/1600000924,2/9/21,Domestic abuse,,No,Fixed-term Private Registered Provider General Needs tenancy,South Cambridgeshire,CB21 4JE,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,A need to move to avoid hardship to themselves or others,,0,Relet - tenant moved to other social housing provider
1020/106248/10000044,CB25 9GF,1020/1600000929,2/13/21,End of Assured Shorthold Tenancy - 'eviction/tenant at fault',,No,Other,South Cambridgeshire,CB24 8PT,Don't know,Don't know,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant moved to other social housing provider
1020/106248/10000045,CB25 9GF,1020/1600000926,2/11/21,Loss of tied accommodation,,No,Tied housing or rented with job,South Cambridgeshire,CB22 3BG,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant moved to other social housing provider
1010/101305/10000007,DY10 1PX,1010/1200008747,2/16/21,Don’t Know,,No,Any other temporary accommodation,Wyre Forest,,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/106807/10000063,SS3 0HU,1010/1100075356,2/18/21,To move nearer to family/ friends/ school,,Don't Know,Living with friends or family,Rochford,SS3 0FS,1 year but under 2 years,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,Don't know,Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1010/102265/10000282,CB6 3BS,1010/1100075367,2/18/21,Property unsuitable because of poor condition,,No,Lifetime Private Registered Provider General Needs tenancy,East Cambridgeshire,CB6 2TS,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/101209/10000150,E9 7HD,1010/1100075165,2/5/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Hackney,E9 6RY ,2 years but under 3 years,Don't know,Not homeless,Don't Know,,,1,"First let of a conversion, rehabilitation or acquired property"
1010/102620/10000007,SW20 9DL,1010/1100075269,2/12/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,Mid Devon,CR4 3BE,3 years but under 4 years,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/102620/10000021,SW20 9DL,1010/1100075290,2/12/21,Under occupation - offered incentive to downsize,,Don't Know,Lifetime Private Registered Provider General Needs tenancy,Merton,SW20 0DG,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/105405/10000136,IP2 9YP,1010/1100075294,2/16/21,To move to independent accommodation,,Don't Know,Living with friends or family,Ipswich,IP2 9UF,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104293/10002300,S5 0AX,1010/1100075371,2/19/21,Property unsuitable because of ill health/ disability,,No,Other,Sheffield,S14 1QB,Don't know,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/104681/10000237,CB7 5AU,1010/1100075327,2/17/21,To move nearer to family/ friends/ school,,Don't Know,Fixed-term Local Authority General Needs tenancy,West Suffolk,IP27 0AX,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104782/10000026,CB6 2TP,1010/1100075320,2/17/21,Property unsuitable because of ill health/ disability,,Don't Know,Lifetime Private Registered Provider General Needs tenancy,East Cambridgeshire,CB6 3BX,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/106823/10000200,SS4 1QL,1010/1100075377,2/19/21,Domestic abuse,,Don't Know,Any other temporary accommodation,Rochford,SS6 8SH,2 years but under 3 years,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,,Common housing register (CHR),0,Relet - tenant moved to other social housing provider
1010/104503/10000010,ST8 6JX,1010/1100075360,2/19/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,Staffordshire Moorlands,ST8 7QH,Less than 1 year,Less than 1 year,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/100560/10000002,TF10 7JD,1010/1100075329,2/18/21,To move to independent accommodation,,No,Other,Telford and Wrekin,TF6 6DT,5 years or more,Don't know,Not homeless,Don't Know,,,4,Relet - previous tenant moved to private sector or other accommodation
1010/101385/10000003,HU7 4SL,1010/1100075245,2/12/21,Asked to leave by family or friends,,No,Living with friends or family,"Kingston upon Hull, City of",HU7 5AR,1 year but under 2 years,Don't know,Not homeless,Don't Know,,,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104443/10000003,B33 0GE,1010/1100075372,2/19/21,Property unsuitable because of overcrowding,,No,Living with friends or family,Birmingham,B36 8NH,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1010/104033/10000050,GU11 3DL,1010/1100075363,2/19/21,Property unsuitable because of poor condition,,No,Living with friends or family,Rushmoor,GU12 4JH,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),2,Relet - previous tenant died (no succession)
1010/104432/10000032,CB6 3LY,1010/1100075349,2/19/21,Other,to move into smaller property ,No,Private sector tenancy,East Cambridgeshire,CB6 3JP,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/104101/10000022,ST4 3BJ,1010/1100075369,2/19/21,End of Assured Shorthold Tenancy - 'no fault',,No,Private sector tenancy,Stoke-on-Trent,ST3 4RD,5 years or more,Less than 1 year,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/106584/10000000,TS20 2AH,1010/1500001782,2/19/21,Don’t Know,,No,Home Office Asylum Support,Stockton-on-Tees,,1 year but under 2 years,1 year but under 2 years,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - tenant moved to other social housing provider
1010/102518/10000021,TR15 2SE,1010/1100075336,2/19/21,Domestic abuse,,No,Lifetime Local Authority General Needs tenancy,Cornwall,,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),1,Relet - tenant moved to other social housing provider
1020/106447/10000040,CM7 3AL,1020/1100003295,2/19/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,Swale,,Just moved to the local authority area,1 year but under 2 years,Not homeless,Don't Know,,Choice-based lettings (CBL),0,"First let of a conversion, rehabilitation or acquired property"
1010/105755/10000001,CB22 6SR,1010/1100075378,2/19/21,Couldn't afford rent or mortgage - other,,No,Private sector tenancy,East Cambridgeshire,CB22 6SQ,1 year but under 2 years,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104324/10000016,ST5 6SP,1010/1100075359,2/19/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Stoke-on-Trent,ST4 5AB,Just moved to the local authority area,Don't know,Not homeless,No,,,1,Relet - previous tenant died (no succession)
1010/104382/10000024,TA6 4FA,1010/1100075331,2/17/21,End of Fixed-Term Tenancy - 'no fault',,No,Private sector tenancy,Sedgemoor,,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1010/104532/10000001,BS27 3NB,1010/1100075352,2/18/21,End of Assured Shorthold Tenancy - 'no fault',,No,Private sector tenancy,Mendip,,Just moved to the local authority area,Just moved to the local authority area,Not homeless,Don't Know,,Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1010/104532/10000000,BS27 3NB,1010/1100075345,2/19/21,End of Assured Shorthold Tenancy - 'no fault',,No,Private sector tenancy,Sedgemoor,,5 years or more,Don't know,Not homeless,Don't Know,,,7,Relet - previous tenant died (no succession)
1010/104956/10000011,ME17 1DF,1010/1100075157,2/5/21,Property unsuitable because of overcrowding,,No,Living with friends or family,Maidstone,ME17 4QB,1 year but under 2 years,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1010/105000/10000000,RH13 5LZ,1010/1100075173,2/5/21,To move to independent accommodation,,No,Any other temporary accommodation,Horsham,RH12 2ED,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1010/104963/10000024,ME8 7QY,1010/1100075276,2/12/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Medway,ME8 7QX,1 year but under 2 years,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/103105/10000011,LA1 1LW,1010/1600005835,2/22/21,Other problems with neighbours,,No,Fixed-term Local Authority General Needs tenancy,Lancaster,,5 years or more,Less than 1 year,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",,0,Relet - previous tenant moved to private sector or other accommodation
1010/105748/10000015,IP11 2NB,1010/1600005840,2/22/21,End of Assured Shorthold Tenancy - 'no fault',,No,Supported housing,East Suffolk,IP11 9EE,Less than 1 year,Less than 1 year,Not homeless,Don't Know,,,0,Relet - tenant evicted due to ASB or other reason
1010/103746/10000070,CM7 9LW,1010/1100075384,2/22/21,To move to independent accommodation,,No,Living with friends or family,Chelmsford,CM2 9FA,4 years but under 5 years,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/100370/10000004,HU3 1SW,1010/1600005841,2/22/21,End of Assured Shorthold Tenancy - 'no fault',,No,Bed and breakfast,Kettering,,Just moved to the local authority area,Just moved to the local authority area,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/103455/10000061,ST17 9TW,1010/1100075348,2/22/21,Other,"Living in shared accommodation, need more space",No,Private sector tenancy,Stafford,ST16 3BS,5 years or more,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/103777/10000080,SS13 1FG,1010/1100075202,2/8/21,To move to accommodation with support,,No,Fixed-term Private Registered Provider General Needs tenancy,Thurrock,RM16 6BS,Just moved to the local authority area,2 years but under 3 years,Not homeless,Don't Know,,Common housing register (CHR),0,Relet - previous tenant died (no succession)
1010/106044/10000055,TQ4 9EF,1010/1600005804,2/10/21,Domestic abuse,,No,Bed and breakfast,Torbay,,5 years or more,Less than 1 year,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Yes,Homeless or about to lose their home (within 56 days);#A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/101829/10000032,NG17 4AZ,1010/1100075344,2/22/21,Asked to leave by family or friends,,No,Living with friends or family,Ashfield,,5 years or more,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),1,Relet - tenant abandoned property
1020/106130/10000005,S36 1DP,1020/1100003280,2/17/21,Property unsuitable because of ill health/ disability,,No,Owner occupation (low cost home ownership),Sheffield,S36 2GB,5 years or more,Don't know,Not homeless,No,,,0,Relet - previous tenant died (no succession)
1010/102217/10000003,SS5 6NB,1010/1100075403,2/22/21,To move to accommodation with support,,Don't Know,Owner occupation (private),Rochford,SS5 6DF,5 years or more,Don't know,Not homeless,Don't Know,,Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1010/102538/10000002,WS15 1LL,1010/1100075402,2/23/21,Property unsuitable because of overcrowding,,No,Living with friends or family,Cannock Chase,WS15 1SJ,5 years or more,Less than 1 year,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/101691/10000079,CB21 4AF,1010/1100075261,2/22/21,To move to accommodation with support,,No,Fixed-term Local Authority General Needs tenancy,South Cambridgeshire,CB22 3LG,5 years or more,Less than 1 year,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104651/10000180,TQ2 8AH,1010/1100075374,2/23/21,Property unsuitable because of overcrowding,,No,Any other temporary accommodation,Torbay,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - tenant abandoned property
1010/101206/10000431,TQ3 3UP,1010/1100075375,2/23/21,Don’t Know,,No,Any other temporary accommodation,Torbay,,Just moved to the local authority area,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1020/106447/10000037,CM7 3AL,1020/1100003287,2/17/21,To move to independent accommodation,,No,Living with friends or family,Braintree,CM7 2BA,Don't know,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,"First let of a conversion, rehabilitation or acquired property"
1010/101513/10000022,OX16 5TR,1010/1100075330,2/18/21,To move to independent accommodation,,No,Supported housing,Cherwell,OX16 4RL,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
